emoji,meaning,weight
🚅,N_vehicle15,0
🚈,N_vehicle16,0
🚇,N_vehicle17,0
🚝,N_vehicle18,0
🚋,N_vehicle19,0
🚃,N_vehicle20,0
🚎,N_vehicle21,0
🚌,N_vehicle22,0
🚍,N_vehicle23,0
🚙,N_vehicle24,0
🚘,N_vehicle25,0
🚗,N_vehicle26,0
🚕,N_vehicle27,0
🚖,N_vehicle28,0
🚛,N_vehicle29,0
🚚,N_vehicle30,0
🚨,N_vehicle31,0
🚓,N_vehicle32,0
🚔,N_vehicle33,0
🚒,N_vehicle34,0
🚑,N_vehicle35,0
🚐,N_vehicle36,0
🚲,N_vehicle37,0
🚡,N_vehicle38,0
🚟,N_vehicle39,0
� ,N_vehicle40,0
🚜,N_vehicle41,0
💈,N_sign1,0
🚏,N_sign2,0
🎫,N_sign3,0
🚦,N_sign4,0
🚥,N_sign5,0
� ️,N_sign6,0
🚧,N_sign7,0
🔰,N_sign8,0
⛽️,N_sign9,0
🏮,N_sign10,0
🎰,N_sign11,0
♨️,N_sign12,0
🗿,N_sign13,0
🎪,N_sign14,0
🎭,N_sign15,0
📍,N_sign16,0
🚩,N_sign17,0
🇦🇺,N_flag1,0
🇦🇹,N_flag2,0
🇧🇪,N_flag3,0
🇧🇷,N_flag4,0
🇨🇦,N_flag5,0
🇨🇱,N_flag6,0
🇨🇳,N_flag7,0
🇨🇴,N_flag8,0
🇩🇰,N_flag9,0
🇫🇮,N_flag10,0
🇫🇷,N_flag11,0
🇩🇪,N_flag12,0
🇭🇰,N_flag13,0
🇮🇳,N_flag14,0
🇮🇩,N_flag15,0
🇮🇪,N_flag16,0
🇮🇱,N_flag17,0
🇮🇹,N_flag18,0
🇯🇵,N_flag19,0
🇰🇷,N_flag20,0
🇲🇴,N_flag21,0
🇲🇾,N_flag22,0
🇲🇽,N_flag23,0
🇳🇱,N_flag24,0
🇳🇿,N_flag25,0
🇳🇴,N_flag26,0
🇵🇭,N_flag27,0
🇵🇱,N_flag28,0
🇵🇹,N_flag29,0
🇵🇷,N_flag30,0
🇷🇺,N_flag31,0
🇸🇦,N_flag32,0
🇸🇬,N_flag33,0
🇿🇦,N_flag34,0
🇪🇸,N_flag35,0
🇸🇪,N_flag36,0
🇨🇭,N_flag37,0
🇹🇷,N_flag38,0
🇬🇧,N_flag39,0
🇺🇸,N_flag40,0
🇦🇪,N_flag41,0
🇻🇳,N_flag42,0
1️⃣,O_1,0
2️⃣,O_2,0
3️⃣,O_3,0
4️⃣,O_4,0
5️⃣,O_5,0
6️⃣,O_6,0
7️⃣,O_7,0
8️⃣,O_8,0
9️⃣,O_9,0
0️⃣,O_0,0
🔟,O_10,0
🔢,O_1234,0
#️⃣,O_pound,0
🔣,O_symbols,0
⬆️,O_up,0
⬇️,O_down,0
⬅️,O_left,0
➡️,O_right,0
� ,O_abcd1,0
🔡,O_abcd2,0
🔤,O_abc,0
↗️,O_upright,0
↖️,O_upleft,0
↘️,O_downright,0
↙️,O_downleft,0
↔️,O_horiz,0
↕️,O_vertical,0
🔄,O_loop,0
◀️,O_lefttri,0
▶️,O_righttri,0
🔼,O_uptri,0
🔽,O_downtri,0
↩️,O_cueback,0
↪️,O_cueforward,0
ℹ️,O_info,0
⏪,O_rewind,0
⏩,O_fastforward,0
⏫,O_upforward,0
⏬,O_downforward,0
⤵️,O_downward,0
⤴️,O_upward,0
🆗,O_ok,0
🔀,O_shuffle,0
🔁,O_loop2,0
🔂,O_looponce,0
🆕,O_new,0
🆙,O_upexcl,0
🆒,O_cool,0
🆓,O_free,0
🆖,O_ng,0
📶,O_bars,0
🎦,O_movie,0
🈁,P_asian1,0
🈯️,P_asian2,0
🈳,P_asian3,0
🈵,P_asian4,0
🈴,P_asian5,0
🈲,P_asian6,0
🉐,P_asian7,0
🈹,P_asian8,0
🈺,P_asian9,0
🈚️,P_asian10,0
🚻,P_menwomen,0
🚹,P_men,0
🚺,P_women,0
🚼,P_baby,0
🚾,P_wc,0
🚰,P_water,0
🚮,P_trash,0
🅿️,P_parking,0
♿️,P_handicap,0
🚭,P_nosmoking,0
🈷,P_asian11,0
🈸,P_asian12,0
🈂,P_asian13,0
Ⓜ️,P_metro,0
🛂,P_service,0
🛄,P_baggage,0
🛅,P_lockedbaggage,0
🛃,P_service2,0
🉑,P_asian14,0
㊙️,P_asian15,0
㊗️,P_asian16,0
🆑,P_cl,0
🆘,P_sos,0
🆔,P_id,0
🚫,R_no,0
🔞,R_18,0
📵,R_cell,0
🚯,R_litter,0
🚱,R_water,0
🚳,R_bike,0
🚷,R_walk,0
🚸,R_child,0
⛔️,R_enter,0
✳️,R_star1,0
❇️,R_star2,0
❎,R_x,0
✅,R_check,0
✴️,R_star3,0
💟,R_heart,0
🆚,R_vs,0
📳,R_phoneheart,0
📴,R_phoneoff,0
🅰,R_a,0
🅱,R_b,0
🆎,R_ab,0
🅾,R_o,0
� ,R_diamond,0
➿,R_twoloops,0
♻️,R_recycle,0
♈️,R_zodiac1,0
♉️,R_zodiac2,0
♊️,R_zodiac3,0
♋️,R_zodiac4,0
♌️,R_zodiac5,0
♍️,R_zodiac6,0
♎️,R_zodiac7,0
♏️,R_zodiac8,0
♐️,R_zodiac9,0
♑️,R_zodiac10,0
♒️,R_zodiac11,0
♓️,R_zodiac12,0
⛎,R_zodiac13,0
